id,name,price,store
36292,SV MLJEV MESO 450g MA PIK VRBOVEC,1.85,konzum
42849,VODKA BLACKY ŠUM VOĆE 0.7L,8.55,konzum
19950,MARTINI VERMOUTH BIANCO 1L,16.05,konzum
34932,SOK FRUTEK KAMIL JAB 125ML,0.99,konzum
23303,NEKTAR MULT JUICY 1L LIGHT,1.99,konzum
23199,NEGAZ PIĆE JUICY FRUITS CRV NARAN 0.5L JAM,1.09,konzum
9137,GAZ PIĆE PIPI NARANČA 2L,2.25,konzum
20790,MIN VODA DONAT MG 0.5L GAZ PET,1.39,konzum
21620,MRVICE K PLUS 500G,1.05,konzum
37810,TIJESTO VERMICELLI TAGL 80 500g ZARA,1.59,konzum
31052,RIŽA CARNAROLI 1kg SCOTTI,6.99,konzum
20913,MIX FRANCK 2U1 15g,0.39,konzum
45742,ČAJ JAGODA VAN FILT OMOT 55g FRANCK,2.49,konzum
45763,ČAJ KAMILICA FILT 20/1 20g FRANCK,1.79,konzum
24545,ORIGANO 15g BOČICA LUXOR,1.79,konzum
12828,JUHA GOVEĐ S REZAN 18g FINI MINI,0.79,konzum
675,AROMA NARANČA 15ML AROMAR,1.0,konzum
37659,TIJESTO CAPELLINI 1 500g BARILLA,2.09,konzum
38738,TP VIOLETA LAVANDA 16/1 3SL,6.63,konzum
31323,RUPČIĆI PAP VIOLETA LJUBIČICA 3SL 10/1,1.99,konzum
35787,SPUŽVA MAXI 5/1 REKORD,1.65,konzum
8485,FLASTER LOLA ULTRA VODOOTP 12/1,1.69,konzum
19161,LOSION NIV SUN SPF30 200ML,16.99,konzum
16797,KREMA ZAŠTITNA SUDOCREM 125g,8.65,konzum
26457,PIL KRILA U PIKANTNOJ MARINADI 450g VINDIJA,4.49,konzum
39652,ULJE MASLIN BIJELI TARTUF 100ML,9.99,konzum
12838,JUHA GOVEĐA SA ZVJEZD 52g PODR,0.89,konzum
46712,ČOKOLADA KANDI MLIJEČNA 80g,1.03,konzum
9082,GAZ PIĆE COCA COLA 2X2L SUPER PONUDA,4.45,konzum
46350,ČOK DORINA NOISETTE 220g FLOW PACK,4.49,konzum
25902,PAŠTETA TUNJ AQ 95g,2.19,konzum
8549,FLIPS K PLUS HRUSTY NEUTRAL PAPRIKA 100g,0.59,konzum
46120,ČETKICA OB 5WAY CL 40MED 2KOM,3.0,konzum
35723,SPREJ ZA MRLJE FROSCH BABY 300ML,4.09,konzum
42401,VL MAR LUMPI SOFT LOTION 20/1,0.59,konzum
20918,MIX JACOBS 2U1 14g,0.45,konzum
25241,PAP RUPČIĆI NATUR BALZ 4SL 10/1,1.25,konzum
25237,PAP RUPČIĆI LUMPI 4SL 10/1,1.06,konzum
33014,SIR K PLUS POLUTV TILZIT 300G,3.58,konzum
27137,PIVO KOZEL PREMIUM LIM 0.5L,1.59,konzum
9641,GEL TUŠ NIVEA FOR MEN ORIGINAL CARE 500ML,6.69,konzum
24577,ORNEL GOLDEN DREAM 1.6L,3.99,konzum
5043,CRNI BAKALAR FILET 400g LEDO,9.99,konzum
42712,VODA PRIRODNA MINERALNA KALA 0.5L,0.5,konzum
6301,DET PERFEKTE WASCHE ZELENI 4.305L=123PR,4.49,konzum
14558,KEKS BIO DJ HIPP 180G,3.59,konzum
46702,ČOKOLADA FINESSE S KEKSOM 220g,3.39,konzum
46843,ČOKOLADA ČOKSA BANANA BISCUIT 68g,1.39,konzum
47300,ŠTRUDLA SMOKVA 250g LASTA,2.39,konzum
16863,KRPA MAGIC REKORD TIM STAKLO 40x40 cm,4.49,konzum
1037,BAGUETTE ČEŠNJAK 250g MEGGLE,2.19,konzum
25883,PAŠTETA PILEĆA KIDS POLI 95g,1.19,konzum
34793,SOK 100% MOJ DAN NARANČA 1L,1.59,konzum
20926,MIX KINDER HAPPY MOMENTS 161g,5.39,konzum
31118,ROLADA SUNNY KAKAO 200g,1.19,konzum
44243,ZAČIN PIKANTNA PILETINA 30g VEGETA NATUR,1.19,konzum
17014,KRUH PRIMORSKI 500g PAK MLINAR,2.09,konzum
39552,ULJE BUČINO ZLOTNO DJEV 0.25L POLJO POSAVEC,6.29,konzum
39553,ULJE BUČINO ZLOTNO DJEV 0.5L POLJO POSAVEC,11.29,konzum
40113,UMAK PESTO PISTAC 130g RIO MARE,4.49,konzum
12966,JUHA PILEĆA ABECEDA 60g PODRAVKA,0.89,konzum
31909,SALV PALOMA BOŽIĆ WREATH 33X33 20/1,2.29,konzum
18884,LIP BALM LABELLO ORIGINAL 4.8g,3.59,konzum
18885,LIP BALM LABELLO PEARL&SHINE  5.5g,4.45,konzum
16226,KRASTAVAC K PLUS REZANI 670G/360g,1.79,konzum
22434,NAMAZ FINESSE LJEŠNJAK 750 g,4.19,konzum
31917,SALV PALOMA HAPPY 33X33 3SL 20/1,1.69,konzum
38763,TP ZEWA DELUXE BIJELA 3SL 8/1,2.79,konzum
22749,NAPITAK BADEM BŠ PROMO PACK 4X1L ALPRO,7.49,konzum
38495,TORBA ZA KUPOVINU KONZUM PLATNENA,1.99,konzum
46836,ČOKOLADA ZA KUH DESSERT BIJELA 170 g ,5.49,konzum
47095,ŠAMPON H&S 2IN1 CLASSIC CLEAN 250 ml,5.29,konzum
47094,ŠAMPON H&S 2IN1 APPLE 330 ml,6.69,konzum
9771,GEL ČIŠĆ GARNIER PURE HYDRA 250 ml,6.99,konzum
5617,DEO FA PASSION FRUIT 150 ml,3.99,konzum
31184,ROLL ON NIVEA M DEEP SPORT 50 ml,6.09,konzum
16338,KREKER RIŽA ACTIVE ZONE 120 g,0.99,konzum
4068,CEDEVITA FRESH ANANAS MANGO 0.34 L,1.15,konzum
27214,PIVO OSJEČKO CRNI RADLER 1664 0.5 l,1.55,konzum
9556,GEL TUŠ AGRADO VANIL 750 ml,2.79,konzum
13098,JUNEĆA LOPATICA BK FIVAS,10.49,konzum
6215,DET FAKS 5IN1 COLOR 22TAB,13.49,konzum
22582,NAMAZ PROTEIN ZOE TWIST 200 g,5.99,konzum
28380,PRAH ZOE BOSS SLEEP MARSHMALL 200 g,27.99,konzum
10268,GRAH SA DIMLJENIM MESOM 400 g CARNEX,3.99,konzum
1837,BOJA OLIA 6.3 GOLDEN LIGHT BROWN,7.59,konzum
30715,REGEN PANTENE REPAIR&PROTECT 800 ml,14.19,konzum
1111,BALZAM OLIVAL KONJSKI 250ml,3.29,konzum
11448,HREN LUDBREŠKI 200g,2.49,konzum
