naziv;¹ifra;marka;neto kolièina;jedinica mjere;MPC;cijena za jedinicu mjere;MPC za vrijeme posebnog oblika prodaje;Najni¾a cijena u posljednjih 30 dana;datum sidrene cijene;sidrena cijena na 2.5.2025.;barkod;kategorija proizvoda
SPREJ AGRADO SUHI SPF30 200 ml;377900;AGRADO;0.2000;l;15.59;77.95;;;02.05.2025;15.59;8433295060770;Kozmetika
SPREJ AGRADO SUHI SPF50 75 ml;377901;AGRADO;0.0750;l;11.99;159.87;;;02.05.2025;11.99;8433295062132;Kozmetika
KRUH DOMAÆI MEDITERANEO 400 g;377911;;0.4000;kg;2.19;5.48;;;02.05.2025;2.19;3830085170483;Hrana
TOAST KLARA  AMER.SANDW.750 g;377913;;0.7500;kg;2.99;3.99;;;02.05.2025;2.99;3856016906945;Hrana
GEL NIVEA ZA TU©IR. STA 500 ml;377933;Nivea;0.5000;l;5.89;11.78;;;02.05.2025;5.89;9005800317892;Kozmetika
GEL NIVEA GEL ZA TU©.RO 500 ml;377934;Nivea;0.5000;l;5.89;11.78;;;02.05.2025;5.89;9005800263601;Kozmetika
SIRNI NAMAZ LABNE PRESID.100 g;377942;President;0.1000;kg;0.99;9.90;;;02.05.2025;0.99;8692971431604;Hrana
Torta Monte lopta 2150 g;377945;Bäckerei SPAR;2.1500;kg;27.99;13.02;;;02.05.2025;27.99;;Hrana
JOG.DUKATOS DIVINE ÈOKO.150 g;377950;Dukat;0.1500;kg;1.19;7.93;;;02.05.2025;1.19;3850354018391;Hrana
JOG.DUKAT.DIVINE KARAMEL.150 g;377951;Dukat;0.1500;kg;1.19;7.93;;;02.05.2025;1.19;3850354018377;Hrana
PUD.PROT.STAY STRO.KAKAO 200 g;377952;Dukat;0.2000;kg;1.55;7.75;;;02.05.2025;1.55;3850354018490;Hrana
PUD.PROT.STAY STRO.VANIL.200 g;377955;Dukat;0.2000;kg;1.55;7.75;;;02.05.2025;1.55;3850354018551;Hrana
PUD.PROT.STAY STRO.LJE©.200 g;377956;Dukat;0.2000;kg;1.55;7.75;;;02.05.2025;1.55;3850354018612;Hrana
DES.PROT.MOUS.STAY KAKAO 165 g;377961;Dukat;0.1000;kg;1.59;15.90;;;02.05.2025;1.59;3850354018438;Hrana
BIO JAGODA 250 g;377967;;0.2500;kg;1.99;7.96;;;02.05.2025;2.09;3859893093616;Hrana
GEL ZA TU©.LACTOVIT LAC.300 ml;377971;Lactovit;0.3000;l;2.69;8.97;;;02.05.2025;2.69;8411135008465;Kozmetika
SLAD.QUATTRO LINO LADA 1500 ml;377984;Quattro;1.5000;L;;3.99;5.99;7.49;02.05.2025;7.49;3850116064239;Hrana
PIZZA MARGHERITA MEGIC 380 g;377994;;0.3800;kg;5.29;13.92;;;02.05.2025;5.29;8026517000267;Hrana
PIZZA ©UNKA GLJIVE MEG.430 g;377995;;0.4300;kg;5.99;13.93;;;02.05.2025;5.99;8026517006009;Hrana
PIZZA DIAVOLA MEGIC 400 g;377996;;0.4000;kg;5.99;14.98;;;02.05.2025;5.99;8026517000328;Hrana
LOSOS FJK UMAK SENF 110 g ;378005;Franz Jozef Kaiser;55.0000;kg;2.89;0.05;;;02.05.2025;2.89;8595241524887;Hrana
LOSOS FJK UMAK RAJÈICA 110 g ;378007;Franz Jozef Kaiser;55.0000;kg;2.89;0.05;;;02.05.2025;2.89;8595241524900;Hrana
BOJA SYOSS OLEO CRV.ÐUM.7-77;378015;Syoss;1.0000;kom;6.79;6.79;;;02.05.2025;6.79;9000101661187;Kozmetika
BOJA SYOSS OLEO PJE.PLAVA 8-68;378016;Syoss;1.0000;kom;6.79;6.79;;;02.05.2025;6.79;9000101705867;Kozmetika
MUESLI HIPP VOÆE BIO 200 g;378018;Hipp;0.2000;kg;2.99;14.95;;;02.05.2025;2.99;4062300256385;Hrana
MUESLI HIPP BAN.©UM.VOÆE 200 g;378019;Hipp;0.2000;kg;2.99;14.95;;;02.05.2025;2.99;4062300378391;Hrana
GEL SYOSS Z. KMAX HOLD  250 ml;378023;Syoss;0.2500;l;;20.76;5.19;5.69;02.05.2025;5.69;9000100591010;Kozmetika
VOÆ.PLOÈICA HIPP BAN.JAB.20 g;378025;Hipp;0.0200;kg;.89;44.50;;;02.05.2025;0.90;4062300362239;Hrana
VOÆ.PLOÈICA HIPP BAN.JAB.20 g;378026;Hipp;0.0200;kg;.89;44.50;;;02.05.2025;0.90;4062300362246;Hrana
VOSAK SYOSS M.HOLD 150 ml;378027;Syoss;0.1500;l;;34.60;5.19;5.69;02.05.2025;5.69;9000101681543;Kozmetika
LAK GOT2B ZA KOSU GLUED 300 ml;378029;Got2b;0.3000;l;6.99;23.30;;;02.05.2025;6.99;9000101290875;Kozmetika
KUPKA TESORI BYZANTIUM 500 ml;378052;Tesori;0.5000;l;4.29;8.58;;;02.05.2025;4.29;8008970040738;Kozmetika
KUPKA TESORI AYUREDA 500 ml;378053;Tesori;0.5000;l;4.29;8.58;;;02.05.2025;4.29;8008970043630;Kozmetika
KUPKA TESORI KARMA 500 ml;378054;Tesori;0.5000;l;4.29;8.58;;;02.05.2025;4.29;8008970057507;Kozmetika
GEL TESORI ZA TU© HAMM.250 ml;378055;Tesori;0.2500;l;2.59;10.36;;;02.05.2025;2.59;8008970005621;Kozmetika
GEL TESORI ZA TU© BYZA.250 ml;378056;Tesori;0.2500;l;2.59;10.36;;;02.05.2025;2.59;8008970040745;Kozmetika
GEL TESORI ZA TU© AYUR.250 ml;378057;Tesori;0.2500;l;2.59;10.36;;;02.05.2025;2.59;8008970043647;Kozmetika
DEO SPR.TESORI HAMMAM 150 ml;378058;Tesori;0.1500;l;3.89;25.93;;;02.05.2025;3.89;8008970036908;Kozmetika
DEO SPR.TESORI AYURVE 150 ml;378059;;0.1500;l;3.89;25.93;;;02.05.2025;3.89;8008970051062;Kozmetika
OMEK©. TESORI BYZ. 760 ml;378061;Tesori;0.7600;l;;3.93;2.99;4.49;02.05.2025;4.49;8008970055237;Sredstva za èi¹æenje
DEO SPR.TESORI IMPER.150 ml;378062;Tesori;0.1500;l;3.89;25.93;;;02.05.2025;3.89;8008970036939;Kozmetika
OMEK©. TESORI AYURVEDA 760 ml;378063;Tesori;0.7600;L;;3.93;2.99;4.49;02.05.2025;4.49;8008970055244;Sredstva za èi¹æenje
