"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";NETO_KOLIČINA;"JEDINICA_MJERE";MALOPROD.CIJENA(EUR);CIJENA_ZA_JEDINICU_MJERE;MPC_POSEB.OBLIK_PROD;POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE;NAJNIŽA_MPC_U_30DANA;SIDRENA_CIJENA;"BARKOD";"KATEGORIJA_PROIZVODA"
"SLAD.KORNET ŠLAG 6 KOM 450g";"003316701";"DOLCIANDO";0.45;"KG";2.79;6.2;0;0;0;2.79;"8017596002228";"SLADOLEDI I DESERTI"
"SLAD.KORNET ŠLAG 6 KOM 450g";"003316701";"DOLCIANDO";0.45;"KG";2.79;6.2;0;0;0;2.79;"8002050036314";"SLADOLEDI I DESERTI"
"BUĐOLA";"003370402";"LA BOTTEGA DEL GUSTO";1;"KG";16.49;16.49;0;0;0;16.49;"";"SALAME SVJEŽE - TEŽINSKE"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"7861088500447";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"5602489003913";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"8710557016202";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"8710557026300";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"5011293630725";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"5011293740813";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"5011293740745";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";0.35;"KG";6.63;18.94;0;0;0;6.63;"8017596040053";"ZAMRZNUTA RIBA/MORSKI PLODOVI"
"KAVA 100% ARABICA 250g";"003763001";"DON JEREZ";0.25;"KG";3.69;14.76;0;0;0;3.69;"8017596000545";"KAVA/ČAJEVI/DRUGO"
"KAVOVINA PRŽENI JEČAM 200g";"003845501";"DON JEREZ";0.2;"KG";1.79;8.95;0;0;0;1.79;"8007100045018";"KAVA/ČAJEVI/DRUGO"
"KAVOVINA PRŽENI JEČAM 200g";"003845501";"DON JEREZ";0.2;"KG";1.79;8.95;0;0;0;1.79;"8017596009005";"KAVA/ČAJEVI/DRUGO"
"KAVOVINA PRŽENI JEČAM 200g";"003845501";"DON JEREZ";0.2;"KG";1.79;8.95;0;0;0;1.79;"8017596051332";"KAVA/ČAJEVI/DRUGO"
"KAVA U ZRNU DON JEREZ 1kg";"003893501";"DON JEREZ";1;"KG";13.99;13.99;0;0;0;12.99;"8017596000552";"KAVA/ČAJEVI/DRUGO"
"INSTANT KAVA DON JEREZ 100g";"003921401";"DON JEREZ";0.1;"KG";2.99;29.9;0;0;0;2.89;"8004990303006";"KAVA/ČAJEVI/DRUGO"
"INSTANT KAVA DON JEREZ 100g";"003921401";"DON JEREZ";0.1;"KG";2.99;29.9;0;0;0;2.89;"8004990304003";"KAVA/ČAJEVI/DRUGO"
"INSTANT KAVA DON JEREZ 100g";"003921401";"DON JEREZ";0.1;"KG";2.99;29.9;0;0;0;2.89;"8017596010049";"KAVA/ČAJEVI/DRUGO"
"TJESTENINA BAVETTE 500g";"003959417";"TRE MULINI";0.5;"KG";0.89;1.78;0;0;0;0.89;"8017596005984";"TJESTENINA"
"TJESTENINA SPAGHETTINI 500g";"003959419";"TRE MULINI";0.5;"KG";0.89;1.78;0;0;0;0.89;"8017596006141";"TJESTENINA"
"TJESTENINA BUCATINI 500g";"003959420";"TRE MULINI";0.5;"KG";0.89;1.78;0;0;0;0.89;"8017596005991";"TJESTENINA"
"KEKS OSWEGO 250g";"004143401";"DOLCIANDO";0.25;"KG";0.89;3.56;0;0;0;0.89;"8017596012326";"KEKSI/VAFLI/SNACKS"
"*PUREĆA ŠUNKA";"004253101";"NO BRAND";1;"KG";13.9;13.9;0;0;0;13.9;"";"DELIKATESA - SALAME"
"ČOKOLADNI KEKSI 150g";"004435401";"DOLCIANDO";0.15;"KG";1.49;9.93;0;0;0;1.49;"4001518000298";"KEKSI/VAFLI/SNACKS"
