BARKOD_ARTIKLA,SIFRA_ARTIKLA,NAZIV_ARTIKLA,BRAND,ROBNA_STRUKTURA,JEDINICA_MJERE,NETO_KOLICINA,MPC,MPC_POSEBNA_PRODAJA,CIJENA_PO_JM,MPC_NAJNIZA_30,MPC_020525,DATUM_ULASKA_NOVOG_ARTIKLA,PRVA_CIJENA_NOVOG_ARTIKLA
3858890101010,10004657,SOK OD ARONIJE 1 L ENCIAN,,PAKIRANA HRANA I PIĆE,kom,"1,000","10,49",,"10,49",,"10,49",,
90444470,10004670,"BOMBON PEZ 8,5 g",PEZ,PAKIRANA HRANA I PIĆE,kom,"0,009","0,25",,"27,78",,"0,25",,
4014500506159,10004697,JOGURT VOĆ. MAXI 400 g JOGOBEL,ZOTT,HLAĐENO I SMRZNUTO,kom,"0,400","1,69",,"4,23",,"1,69",,
8033102690079,10004712,KEKS LJEŠNJAK 150 g GRISBI,GRISBI,PAKIRANA HRANA I PIĆE,kom,"0,150",,"1,98","13,2","2,75","2,99",,
8008863013023,10004725,"VINO CHIANTI 0,75 L BOTTER",BOTTER,PAKIRANA HRANA I PIĆE,kom,"0,750","5,99",,"7,99",,"5,99",,
5054563154378,10004728,PASTA ZA Z. 75ml SENSODYNE SEN,SENSODYNE,NEPREHRANA,kom,"0,075","6,99",,"93,2",,"6,99",,
3858890875638,10004791,"VODA VITAMIN C.RIBI 0,5 L JANA",JANA VITAMIN,PAKIRANA HRANA I PIĆE,kom,"0,500","1,29",,"2,58",,"1,29",,
5449000138156,10004823,"NAPITAK GAZ 12*0,15 L COLA ZE",COCA COLA ZERO,PAKIRANA HRANA I PIĆE,kom,"1,800","7,29",,"4,05",,"7,29",,
9002975405157,10004496,BOMBON PJEN. JAGODA 100 g HARI,HARIBO,PAKIRANA HRANA I PIĆE,kom,"0,100","1,69",,"16,9",,"1,69",,
3850102005918,10004520,BOMBON KAR.PUN. KI-KI 90 g JAG,KIKI,PAKIRANA HRANA I PIĆE,kom,"0,090","1,39",,"15,44",,"1,39",,
8714789880488,10004530,ŠAMPON 350 ml PALMOL. APPLE,PALMOLIVE,NEPREHRANA,kom,"0,350","3,99",,"11,4",,"3,99",,
8003417015041,10004583,TORTELINI SA SIROM 250 g,MICHELANGELO,HLAĐENO I SMRZNUTO,kom,"0,250","1,55",,"6,2",,"1,55",,
3871832023256,10004592,PITA SA ZELJEM 850 g,,HLAĐENO I SMRZNUTO,kom,"0,850","5,49",,"6,46",,"5,49",,
8076809574075,10004628,KEKS PAN DI STELLE 350 g MB,MULINO BIANCO,PAKIRANA HRANA I PIĆE,kom,"0,350","3,19",,"9,11",,"3,19",,
3850102516285,10004658,ČOKOLADA S KEKSOM 220 g DORINA,,PAKIRANA HRANA I PIĆE,kom,"0,220","4,49",,"20,41",,"4,49",,
