Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
SAMPINJONI REZ.200 G ISKA LIMENKA;051916;VM2 PREHRANA;0,115 KG;KOM;1,4;12,17;;;1,4;4002442820181;HRANA;
MILD TACO SAUCE 230 G - UMAK OD RAJCICE LA FIESTA;052023;LA FIESTA;0,230 L;KOM;2,99;13,00;;;2,99;5412514935139;HRANA;
SALSA DIP HOT 315 G LA FIESTA;052024;LA FIESTA;0,315 KG;KOM;3,29;10,44;;;3,29;5412514935122;HRANA;
UMAK BOLOGNESE ORIGINAL 500 G DOLMIO;052041;MARS FOOD;0,500 KG;KOM;3,69;7,38;;;3,69;4002359634420;HRANA;
UMAK BOLOGNESE S GLJIVAMA 500 G DOLMIO;052042;MARS FOOD;0,500 KG;KOM;3,69;7,38;;;3,69;4002359634727;HRANA;
RAJCICA PASIRANA 700 ML CIRIO;052048;CIRIO;0,700 L;KOM;1,99;2,84;;;1,99;8000320010095;HRANA;
KETCHUP 500 G BLAGI ZVIJEZDA;052100;ZVIJEZDA KETCHUPI;0,500 KG;KOM;1,99;3,98;;;1,99;3858882210874;HRANA;
KETCHUP 1000 G BLAGI ZVIJEZDA;052101;ZVIJEZDA KETCHUPI;1 KG;KOM;2,89;2,89;;;2,99;3858882212687;HRANA;
KETCHUP 500 G LJUTI ZVIJEZDA;052102;ZVIJEZDA KETCHUPI;0,500 KG;KOM;1,99;3,98;;;1,99;3858882210898;HRANA;
AJVAR LJUTI 690 G PODRAVKA STAKLO;052179;PODRAVKA PRERADJEVINE OD POVRCA;0,690 KG;KOM;3,79;5,49;;;3,99;3850104050572;HRANA;
PELAT LIMENKA 800 G PODRAVKA;052204;PODRAVKA PRERADJEVINE OD POVRCA;0,480 KG;KOM;3,59;7,48;;;3,59;3850104073212;HRANA;
RAJCICA PASTA 400 G FIAMMA VESUVIANA;052224;ITALDORO;0,400 KG;KOM;1,99;4,98;;;1,99;8009755007076;HRANA;
RAJC.PAS.500 G BRICK GUSTODORO;052229;GUSTODORO;0,500 KG;KOM;1,09;2,18;;;1,09;8006876006001;HRANA;
RAJCICA PELAT 400 G FIAMMA VESUVIANA;052236;ITALDORO;0,240 KG;KOM;,99;4,13;;;1,29;8009755006000;HRANA;
PELAT LIM 400 G PODRAVKA;052238;PODRAVKA PRERADJEVINE OD POVRCA;0,240 KG;KOM;1,99;8,29;;;1,99;3850104073724;HRANA;
