Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
VINO PLAVAC HVAR PZ SVIRCE 0,75 L BADEL;013271;SVIRCE;0,750 L;KOM;7,82;10,43;;;7,82;3850112169143;PICE;
WHISKEY BALLANTINES 0,7 L KARTON;013281;BALLANTINES;0,700 L;KOM;16,02;22,89;;;16,02;5010106113073;PICE;
BADEL DOMACI 0,10 L;013306;LIKERI BADEL;0,100 L;KOM;1,69;16,90;;;1,69;3850112145147;PICE;
BADEL DOMACI 0,5 L;013310;LIKERI BADEL;0,500 L;KOM;7,02;14,04;;;7,02;3850112145123;PICE;
ROOM 0,5 L MARASKA;013312;MARASKA;0,500 L;KOM;6,02;12,04;;;6,02;3850158201531;PICE;
WHISKEY JIM BEAM 0,7 L;013323;JIM BEAM;0,700 L;KOM;20,02;28,60;;;20,02;080686000389;PICE;
BADEL DOMACI 1 L;013331;LIKERI BADEL;1 L;KOM;11,02;11,02;;;11,02;3850112145109;PICE;
VODKA TROJKA 1 L SEGESTICA;013401;TROJKA;1 L;KOM;10,02;10,02;;;10,02;3850112144027;PICE;
PELINKOVAC GORKI 0,1 L;013429;LIKERI BADEL;0,100 L;KOM;1,69;16,90;;;1,69;3850112110398;PICE;
KRUSKOVAC SVATOVSKI 1 L;013430;RAKIJE BADEL;1 L;KOM;10,02;10,02;;;10,02;3850112110169;PICE;
VODKA VIGOR 0,1 L NEW TASTE BADEL;013436;VIGOR;0,100 L;KOM;1,69;16,90;;;1,69;3850112142283;PICE;
KRUSKOVAC LAGANA 1 L MARASKA;013501;MARASKA;1 L;KOM;10,02;10,02;;;10,02;3850158403607;PICE;
CHERRY BRANDY 1 L MARASKA;013506;MARASKA;;KOM;13,02;;;;13,02;3850158401801;PICE;
LIKER PELINKOVAC GORKI 1 L MARASKA;013511;MARASKA;1 L;KOM;15,49;15,49;;;15,49;3850158406752;PICE;
LIKER ORAHOVAC 1 L MARASKA;013512;MARASKA;1 L;KOM;15,02;15,02;;;15,02;3850158406004;PICE;
LIKER MARASCHINO 1 L ORIGINAL MARASKA;013514;MARASKA;1 L;KOM;17,02;17,02;;;17,02;3850158404703;PICE;
PELINKOVAC GORKI BADEL 1 L;013532;LIKERI BADEL;1 L;KOM;16,02;16,02;;;16,02;3850112110039;PICE;
LIKER LAVOV 1 L BADEL;013540;LIKERI BADEL;1 L;KOM;13,02;13,02;;;13,02;3850112110015;PICE;
LIKER JAGDTRAUM 0,7 L;013565;JAGDTRAUM;0,700 L;KOM;9,32;13,31;;;9,32;4009887260701;PICE;
ZACIN.OCAT DUOMO 250 ML;014000;DUOMO;0,250 L;KOM;3,05;12,20;;;3,05;8014347000458;HRANA;
OCAT ALKOHOLNI 1 L LABUD;014002;LABUD I BADEL OCAT;1 L;KOM;1,3;1,30;;;1,3;3850164310111;HRANA;
OCAT JABUCNI 0,5 L 5% SALVIA;014003;MAUTNER;0,500 L;KOM;1,99;3,98;;;1,99;9011900104676;HRANA;
OCAT JABUCNI 1 L SALVIA;014005;MAUTNER;1 L;KOM;2,79;2,79;;;2,79;9011900104683;HRANA;
OCAT JABUCNI 1 L LABUD;014006;LABUD I BADEL OCAT;1 L;KOM;2,06;2,06;;;2,06;3850164340118;HRANA;
OCAT VINSKI 1 L LABUD;014012;LABUD I BADEL OCAT;1 L;KOM;2,06;2,06;;;2,06;3850164321117;HRANA;
OCAT ALKOHOLNI 500 ML LABUD;014020;LABUD I BADEL OCAT;0,500 L;KOM;1,13;2,26;;;1,13;3850164310142;HRANA;
OCAT VINSKI 500 ML LABUD;014021;LABUD I BADEL OCAT;0,500 L;KOM;1,5;3,00;;;1,5;3850164321148;HRANA;
OCAT JABUCNI 500 ML LABUD;014022;LABUD I BADEL OCAT;0,500 L;KOM;1,5;3,00;;;1,5;3850164340149;HRANA;
OCAT ALKOHOLNI 1 L ZVIJEZDA;014030;ZVIJEZDA OCAT I ACETO;1 L;KOM;1,09;1,09;;;1,15;3858882210928;HRANA;
OCAT JABUCNI 1 L  ZVIJEZDA;014031;ZVIJEZDA OCAT I ACETO;1 L;KOM;1,19;1,19;;;1,19;3858882210911;HRANA;
OCAT KVASINA 1 L LABUD;014036;LABUD I BADEL OCAT;1 L;KOM;2,09;2,09;;;2,09;3850164331116;HRANA;
OCAT JAB.S MEDOM 500 ML MAUTNER;014038;MAUTNER;0,500 L;KOM;3,39;6,78;;;3,39;9011900105222;HRANA;
OCAT JABUCNI BARRIQUE 0,5 L;014039;MAUTNER;0,500 L;KOM;4,49;8,98;;;4,49;9011900138343;HRANA;
OCAT BALZAMSKI  250 ML PONTI;014040;PONTI;0,250 L;KOM;2,99;11,96;;;2,99;80522621;HRANA;
BALZAMSKI OCAT IZ MODENE 500 ML PONTI;014041;PONTI;0,500 L;KOM;3,49;6,98;;;3,49;80228486;HRANA;
ZACIN.OCAT DUOMO 500 ML INTERCOMMERCE;014059;DUOMO;0,500 L;KOM;3,69;7,38;;;3,69;8014347000465;HRANA;
ZACIN.OCAT IL TORR. 250 ML;014060;IL TORRIONE;0,250 L;KOM;3,5;14,00;;;3,5;8014347000076;HRANA;
ZACIN.OCAT IL TORR. 500 ML 2103;014061;IL TORRIONE;0,500 L;KOM;3,95;7,90;;;3,95;8014347000090;HRANA;
OCAT ALKOHOLNI 5 L LABUD;014101;LABUD I BADEL OCAT;5 L;KOM;4,56;0,91;;;6,09;3850164310197;HRANA;
OCAT ALKOHOLNI 3 L LABUD;014103;LABUD I BADEL OCAT;3 L;KOM;3,85;1,28;;;3,85;3850164310180;HRANA;
OCAT VINSKI 3 L LABUD;014110;LABUD I BADEL OCAT;3 L;KOM;4,91;1,64;;;5,09;3850164321186;HRANA;
SOK HAPPY DAY NARANCA JUICE 100% 0,2 L;019005;RAUCH;0,200 L;KOM;,79;3,95;;;,79;9008700112482;PICE;
MLIJEKO ALPSKO 3,5% 1 L LJUBLJANSKE MLEKARNE(780/PAL);020108;DUKAT-ALPSKO;1 L;KOM;1,99;1,99;;;1,99;3838800040578;HRANA;
BAKALAR SUSENI 200-400 G;020300;SUHI BAKALAR;;KG;42,99;;;;44,99;2837371;HRANA;
KEFIR 3,5% 200 G VINDIJA;020746;VINDIJA-Z'BREGOV;0,200 KG;KOM;,75;3,75;;;,75;3850108030525;HRANA;
ACIDOF.MLIJEKO 3,2% 200 G VINDIJA;020747;VINDIJA-Z'BREGOV;0,200 KG;KOM;,75;3,75;;;,75;3850108032253;HRANA;
JOGURT TEKUCI 0.9% 200 G VINDIJA;020755;VINDIJA-Z'BREGOV;0,200 KG;KOM;,49;2,45;;;,49;3850108030303;HRANA;
HALTA PRIPRAVAK ZA SLAG NA BILJNOJ BAZI 1 L POHIT;020780;HALTA;1 L;KOM;3,58;3,58;;;3,58;8004172000310;HRANA;
HALTA PRIPRAVAK ZA SLAG NA BILJNOJ BAZI 500 ML POHIT;020781;HALTA;0,500 L;KOM;1,89;3,78;;;1,89;8004172000303;HRANA;
PASTETA KOKOSJA 45 G ARGETA;021011;ATLANTIC ARGETA;0,045 KG;KOM;,89;19,78;;;,89;38381423;HRANA;
GALA PASTETA 100 G  GAVRILOVIC;021036;GAVRILOVIC GALA;0,100 KG;KOM;1,19;11,90;;;1,19;3858881227903;HRANA;
SUNKA NAREZAK 150 G  PODRAVKA;021038;PODRAVKA PASTETE I MESNE KONZERVE;0,150 KG;KOM;2,09;13,93;;;2,09;3858886467731;HRANA;
PASTETA KOKOSJA JUNIOR 45 G ARGETA;021041;ATLANTIC ARGETA;0,045 KG;KOM;,89;19,78;;;,89;38381447;HRANA;
PASTETA KOKOSJA JUNIOR 3X95 G ARGETA;021042;ATLANTIC ARGETA;0,285 KG;KOM;3,79;13,30;;;3,79;3838471013185;HRANA;
BILJNA MAST 500 G ZVIJEZDA;021102;ZVIJEZDA BILJNA MAST;0,500 KG;KOM;2,65;5,30;;;2,65;3858882210201;HRANA;
PURECI NAREZAK 150 G GAVRILOVIC (9000180);021139;GAVRILOVIC;0,150 KG;KOM;2,15;14,33;;;2,15;3858881224582;HRANA;
PASTETA OD TUNE 95 G ARGETA;021154;ATLANTIC ARGETA;0,095 KG;KOM;1,99;20,95;;;1,99;3838975567061;HRANA;
PASTETA KOKOSJA 95 G ARGETA;021159;ATLANTIC ARGETA;0,095 KG;KOM;1,39;14,63;;;1,39;3838975567009;HRANA;
PASTETA KOKOSJA PIKANT 95 G ARGETA;021167;ATLANTIC ARGETA;0,095 KG;KOM;1,39;14,63;;;1,39;3838471007382;HRANA;
PASTETA CAJNA 100 G PPK (430230);021192;PPK;0,100 KG;KOM;,69;6,90;;;,69;3858881615069;HRANA;
PASTETA PILECA 100 G PPK (430699);021193;PPK;0,100 KG;KOM;,69;6,90;;;,69;3858881617070;HRANA;
PASTETA JETRENA GUSTI 75 G  PPK;021194;GUSTI;0,075 KG;KOM;,49;6,53;;;,49;3858881613102;HRANA;
PASTETA CAJNA GUSTI 75 G PPK;021195;GUSTI;0,075 KG;KOM;,49;6,53;;;,49;3858881613119;HRANA;
PASTETA KOKOSJA 50 G PODRAVKA 75/1;021201;PODRAVKA PASTETE I MESNE KONZERVE;0,050 KG;KOM;,86;17,20;;;,86;38500480;HRANA;
PASTETA CAJNA 50 G GAVRILOVIC;021207;GAVRILOVIC;0,050 KG;KOM;1,09;21,80;;;1,09;3858881220096;HRANA;
PASTETA CAJNA 50 G PODRAVKA;021224;PODRAVKA PASTETE I MESNE KONZERVE;0,050 KG;KOM;,86;17,20;;;,86;38500701;HRANA;
PASTETA CAJNA 50 G PPK (430188);021239;PPK;0,050 KG;KOM;,39;7,80;;;,39;3858881615052;HRANA;
PASTETA JETRENA 100 G PPK (430231);021251;PPK;0,100 KG;KOM;,69;6,90;;;,69;3858881617032;HRANA;
PASTETA PILECA 50 G PPK (430711);021258;PPK;0,050 KG;KOM;,39;7,80;;;,39;3858881617063;HRANA;
EXTRAWURST 350 G CEKIN (12047);021266;VINDIJA CEKIN PRERADA;0,350 KG;KOM;2,12;6,06;;;2,12;3850159120473;HRANA;
SIR SVJEZI ZRNATI KERNIGER 200 G STANIC;021291;BAYERNLAND;0,200 KG;KOM;2,39;11,95;;;2,39;4002174080945;HRANA;
MASLAC 250 G BAYERNLAND STANIC;021292;BAYERNLAND;0,250 KG;KOM;5,39;21,56;;;5,39;4002174000233;HRANA;
PASTETA CAJNA 100 G GAVRILOVIC (9000161);021306;GAVRILOVIC;0,100 KG;KOM;;11,50;1,15;1,52;1,52;3858881221529;HRANA;
NAREZAK GOVEDJI 150 G GAVRILOVIC (9000178);021342;GAVRILOVIC;0,150 KG;KOM;2,59;17,27;;;2,59;3858881222533;HRANA;
POLI 500 G KOM PERUTNINA (15033);021350;PERUTNINA POLI;0,500 KG;KOM;4,25;8,50;;;4,25;3850220153065;HRANA;
PASTETA JETRENA 100 G GAVRILOVIC  (9000165);021355;GAVRILOVIC;0,100 KG;KOM;;11,50;1,15;1,52;1,52;3858881221543;HRANA;
NAREZAK MESNI PURETINA 150 G PODRAVKA;021358;PODRAVKA PASTETE I MESNE KONZERVE;0,150 KG;KOM;1,89;12,60;;;1,89;3850104031748;HRANA;
PASTETA JETRENA 50 G GAVRILOVIC;021362;GAVRILOVIC;0,050 KG;KOM;1,09;21,80;;;1,09;3858881220072;HRANA;
PASTETA JETRENA 30 G GAVRILOVIC 180/1 (9000163);021363;GAVRILOVIC;0,030 KG;KOM;,85;28,33;;;,85;3858881220126;HRANA;
PASTETA CAJNA 30 G GAVRILOVIC (9000159);021364;GAVRILOVIC;0,030 KG;KOM;,85;28,33;;;,85;3858881220102;HRANA;
NAREZAK PILECI 150 G PODRAVKA;021378;PODRAVKA PASTETE I MESNE KONZERVE;0,150 KG;KOM;1,89;12,60;;;1,89;3850104055706;HRANA;
HASE OD SVINJETINE 200 G PODRAVKA;021379;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,49;12,45;;;2,49;3850104057380;HRANA;
MESNI NAREZAK 100 G PPK;021391;PPK;0,100 KG;KOM;,79;7,90;;;,79;3858881617056;HRANA;
TJ.BUCATINI 500 G RISCOSSA;021421;RISCOSSA;0,500 KG;KOM;1,09;2,18;;;1,09;8011780000960;HRANA;
BBQ CEVAPCICI 400 G PODRAVKA (4478);021449;PODRAVKA DANICA;0,400 KG;KOM;6,24;15,60;;;6,24;3850104044786;HRANA;
TJEST. CAPELLI ANGELO 500 G RISCOSSA;021462;RISCOSSA;0,500 KG;KOM;1,85;3,70;;;1,85;8011780007839;HRANA;
TJ.PENNE ZITONI RIGATE 500 G RISCOSSA;021466;RISCOSSA;0,500 KG;KOM;1,19;2,38;;;1,19;8011780009253;HRANA;
TJ.LUMACHINE 500 G RISCOSSA;021469;RISCOSSA;0,500 KG;KOM;,99;1,98;;;1,19;8011780009390;HRANA;
SIR ABC 100 G BELJE ZVIJEZDA;021477;ABC NAMAZ;0,100 KG;KOM;1,35;13,50;;;1,35;3859888858008;HRANA;
SIR ABC 50 G BELJE ZVIJEZDA;021478;ABC NAMAZ;0,050 KG;KOM;,66;13,20;;;,66;3859888858190;HRANA;
TJ.ELICHE 500 G  RISCOSSA VRECICA;021488;RISCOSSA;0,500 KG;KOM;,99;1,98;;;1,19;8011780009482;HRANA;
GULAS GOVEDJI 300 G PODRAVKA;021501;PODRAVKA PASTETE I MESNE KONZERVE;0,300 KG;KOM;3,19;10,63;;;3,49;3850104020032;HRANA;
GULAS GOVEDJI 200 G PODRAVKA;021502;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,69;13,45;;;2,99;3850104020018;HRANA;
GULAS GOVEDJI 400 G PODRAVKA;021503;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;4,19;10,48;;;4,49;3850104020087;HRANA;
MESNI DORUCAK 150 G GAVRILOVIC;021504;GAVRILOVIC;0,150 KG;KOM;2,15;14,33;;;2,15;3858881220010;HRANA;
RAGU MESNI 200 G PODRAVKA;021505;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,19;10,95;;;2,49;3850104020308;HRANA;
RAGU SA SAMPINJONIMA 200 G PODRAVKA 30/1;021506;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,19;10,95;;;2,49;3850104022661;HRANA;
MESNI RAGU BOLOGNESE 200 G;021507;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,19;10,95;;;2,49;3850104022401;HRANA;
HASE 200 G PODRAVKA;021511;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,19;10,95;;;2,49;3850104020353;HRANA;
GRAH SA KOBASICAMA 400 G PODRAVKA;021513;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;3,19;7,98;;;3,49;3850104035739;HRANA;
GRAH SA HAMBURGEROM 400 G PODRAVKA;021514;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;3,19;7,98;;;3,49;3850104035746;HRANA;
FILEKI 400 G PODRAVKA;021581;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;3,99;9,98;;;3,99;3850104050848;HRANA;
TUNA MASLINOVO ULJE 2X160 G RIO MARE;021648;RIO MARE;0,208 KG;KOM;8,79;42,26;;;8,79;8004030381681;HRANA;
TUNA RIO MARE  U MASLINOVOM ULJU 160 G;021652;RIO MARE;0,104 KG;KOM;3,99;38,37;;;4,95;8004030044005;HRANA;
GRAH SMEDJI 400 G PODRAVKA LIMENKA;021672;PODRAVKA KONZERVIRANO POVRCE;0,230 KG;KOM;1,39;6,04;;;1,39;3850104024870;HRANA;
GRAH SMEDJI 800 G PODRAVKA LIMENKA;021673;PODRAVKA KONZERVIRANO POVRCE;0,460 KG;KOM;2,19;4,76;;;2,19;3850104025389;HRANA;
TUNA U MASLINOVOM ULJU 4X80 G RIO MARE;021686;RIO MARE;0,208 KG;KOM;7,69;36,97;;;7,69;8004030005051;HRANA;
RIO MARE PATE TUNA 100 G BOLTON;021687;RIO MARE;0,100 KG;KOM;3,59;35,90;;;3,59;8004030069008;HRANA;
RIO MARE PATE LOSOS 100 G BOLTON;021689;RIO MARE;0,100 KG;KOM;3,59;35,90;;;3,59;8004030070004;HRANA;
MLIJEKO 2.8% 1 L BC VINDIJA;021701;VINDIJA-Z'BREGOV;1 L;KOM;1,02;1,02;;;1,02;3850108020007;HRANA;
MLIJ. 2,8% 0,5 L VINDIJA;021702;VINDIJA-Z'BREGOV;0,500 L;KOM;1,09;2,18;;;1,09;3850108020557;HRANA;
MLIJEKO KOZJE 200 ML VINDIJA;021703;VINDIJA-Z'BREGOV;0,200 L;KOM;,99;4,95;;;,99;3850108026009;HRANA;
MLIJEKO 2.8% 200 ML VINDIJA;021704;VINDIJA-Z'BREGOV;0,200 L;KOM;,59;2,95;;;,59;3850108020601;HRANA;
MLIJEKO DUKAT 2,8% TETRA 1 L;021713;DUKAT;1 L;KOM;,98;0,98;;;,98;3850354002413;HRANA;
MLIJEKO 2.8% 1 L CEP VINDIJA;021721;VINDIJA-Z'BREGOV;1 L;KOM;,93;0,93;;;1,02;3850108020502;HRANA;
MLIJEKO COKOLADNO 1 L VINDIJA;021729;VINDIJA-Z'BREGOV;1 L;KOM;2,29;2,29;;;2,29;3850108022988;HRANA;
MLIJEKO COKOLADNO 0,5 L VINDIJA;021730;VINDIJA-Z'BREGOV;0,500 L;KOM;1,59;3,18;;;1,59;3850108023350;HRANA;
MLIJEKO COKOLADNO DISNEY 200 ML VINDIJA;021731;VINDIJA-Z'BREGOV;0,200 L;KOM;,99;4,95;;;,99;3850108022971;HRANA;
MLIJEKO KOZJE 2,8% 0,5 L VINDIJA;021732;VINDIJA-Z'BREGOV;0,500 L;KOM;1,59;3,18;;;1,59;3850108026603;HRANA;
MLIJEKO ALPSKO 1,5% 1 L LJ_MLEK;021739;DUKAT-ALPSKO;1 L;KOM;1,79;1,79;;;1,79;3838800024967;HRANA;
SVJEZE MLIJEKO 3.2% 1 L TB VINDIJA;021746;VINDIJA-Z'BREGOV;1 L;KOM;1,39;1,39;;;1,39;3850108011517;HRANA;
SVJEZE MLIJEKO 3,2% 1 L TB DUKAT;021762;DUKAT;1 L;KOM;1,35;1,35;;;1,35;3850354000501;HRANA;
MLIJEKO 0.9% 1 L CEP VINDIJA;021765;VINDIJA-Z'BREGOV;1 L;KOM;1,49;1,49;;;1,49;3850108021592;HRANA;
MLIJEKO COKOLADNO 0,5 L DUKAT EDGE;021773;DUKAT;0,500 L;KOM;1,69;3,38;;;1,69;3850354017608;HRANA;
LEDENA KAVA 200 ML VINDIJA;021775;VINDIJA-Z'BREGOV;0,200 L;KOM;1,19;5,95;;;1,19;3850108021851;HRANA;
LEDENA KAVA 1 L VINDIJA;021776;VINDIJA-Z'BREGOV;1 L;KOM;2,69;2,69;;;2,69;3850108021820;HRANA;
JOGURT TEKUCI 2,8% 180 G DUKAT;021789;DUKAT;0,180 KG;KOM;,44;2,44;;;,44;3850354000921;HRANA;
NAPITAK SOJINO MLIJEKO 1 L S KALCIJEM;021793;ALPRO;1 L;KOM;2,99;2,99;;;2,99;5411188543381;HRANA;
LIG.PAT.CIJELA 500 G LEDO 071325;021809;LEDO RIBA;0,500 KG;KOM;7,99;15,98;;;7,99;3850116713250;HRANA;
TUNA NATURA 4X80 G RIO MARE;021850;RIO MARE;0,224 KG;KOM;8,49;37,90;;;8,49;8004030344570;HRANA;
ODRESCI SOJA ZAM 400 G O'PLANT;021872;PODRAVKA VEGE;0,400 KG;KOM;2,59;6,48;;;2,59;3856020261962;HRANA;
4 SEASONS 400 G BONDUELLE STANIC;021873;BONDUELLE;0,400 KG;KOM;1,89;4,73;;;1,89;3083680566377;HRANA;
NOISETTES 600 G AVIKO;021885;AVIKO;0,600 KG;KOM;2,49;4,15;;;2,49;8710449001910;HRANA;
TARTUFATA 80 G ZIGANTE STAKLO;021891;ZIGANTE KONZERVIRANO;0,080 KG;KOM;10,59;132,38;;;10,59;3859889179201;HRANA;
TARTUFI I MASLINE 80 G  ZIGANTE STAKLO;021892;ZIGANTE KONZERVIRANO;0,080 KG;KOM;7,43;92,88;;;7,43;3859889179652;HRANA;
TARTUFI CRNI CIJELI 25 G ZIGANTE STAKLO;021894;ZIGANTE KONZERVIRANO;0,020 KG;KOM;15,13;756,50;;;15,13;3859889179010;HRANA;
ULJE MASLINOVO S OKUSOM CRNOG TARTUFA 60 ML ZIGANTE;021899;ZIGANTE KONZERVIRANO;0,060 L;KOM;7,99;133,17;;;7,99;3859889179966;HRANA;
ODRESCI POVRCE ZAM 400 G O'PLANT;021905;PODRAVKA VEGE;0,400 KG;KOM;3,39;8,48;;;3,39;3856020262020;HRANA;
MAHUNA ZELENA 400 G LEDO;021909;LEDO POVRCE;0,400 KG;KOM;1,6;4,00;;;1,6;3850116053196;HRANA;
GRASAK+MRKVA 400 G LEDO;021918;LEDO POVRCE;0,400 KG;KOM;1,99;4,98;;;1,99;3850116053370;HRANA;
POVRCE ZA JUHU 400 G LEDO;021919;LEDO POVRCE;0,400 KG;KOM;2,29;5,73;;;2,29;3850116053462;HRANA;
MSC PANIRANI RIBLJI STAPICI 300 G LEDO;021921;LEDO RIBA;0,300 KG;KOM;3;10,00;;;3;3850116066486;HRANA;
FILET SLANOG INCUNA 212 G ADRIATICON;021952;TRENTON;0,212 KG;KOM;5,97;28,16;;;6,5;3859888906099;HRANA;
MAHUNA ZUTA 400 G LEDO;021956;LEDO POVRCE;0,400 KG;KOM;1,6;4,00;;;1,6;3850116053226;HRANA;
SIR CAMEMBERT 250 G VINDIJA;022007;VINDIJA-VINDIJA SIREVI;0,250 KG;KOM;4,99;19,96;;;4,99;3850108051902;HRANA;
SIR SVJEZI POLUMASNI 500 G VINDIJA;022036;VINDIJA-Z'BREGOV;0,500 KG;KOM;2,49;4,98;;;2,49;3850108058352;HRANA;
DELKO S PAPRIKOM 250 G NAREZAK VINDIJA;022046;VINDIJA CEKIN PRERADA;0,250 KG;KOM;2,19;8,76;;;2,19;3850159122088;HRANA;
NAMAZ ML.CLASSIC 70 G VINDIJA;022086;VINDIJA-Z'BREGOV;0,070 KG;KOM;,79;11,29;;;,79;3850108059113;HRANA;
MASLAC 250 G DUKAT;022101;DUKAT;0,250 KG;KOM;2,99;11,96;;;2,99;3850355000999;HRANA;
MASLAC 250 G ZDENKA;022107;ZDENKA;0,250 KG;KOM;3,29;13,16;;;3,29;3858888590345;HRANA;
MASLAC 250 G MEGGLE;022121;MEGGLE;0,250 KG;KOM;3,99;15,96;;;3,99;4034900004932;HRANA;
VRHNJE ZA KUHANJE 500 ML VINDIJA;022136;VINDIJA-Z'BREGOV;0,500 L;KOM;3,29;6,58;;;3,29;3850108033571;HRANA;
SIR BAYERNTALER 200 G ZOTT STANIC;022143;ZOTT;0,200 KG;KOM;3,05;15,25;;;3,05;4014500505459;HRANA;
VRHNJE ZA KUHANJE 200 ML VINDIJA;022148;VINDIJA-Z'BREGOV;0,200 L;KOM;1,39;6,95;;;1,59;3850108033588;HRANA;
POLIKO 250 G NAREZAK VINDIJA;022151;VINDIJA CEKIN PRERADA;0,250 KG;KOM;2,49;9,96;;;2,49;3850159122019;HRANA;
MARGARIN STOLNI 250 G ZVIJEZDA;022201;ZVIJEZDA MARGARIN;0,250 KG;KOM;,99;3,96;;;,99;3858882210102;HRANA;
MARGARIN STOLNI 500 G ZVIJEZDA;022206;ZVIJEZDA MARGARIN;0,500 KG;KOM;1,85;3,70;;;1,85;3858882210553;HRANA;
MARGARIN ZA KREME 250 G ZVIJEZDA;022216;ZVIJEZDA MARGARIN;0,250 KG;KOM;1,05;4,20;;;1,05;3858882211611;HRANA;
MAJONEZA DELIKATES 85 G VRECICA ZVIJEZDA;022301;ZVIJEZDA MAJONEZA;0,085 KG;KOM;1,09;12,82;;;1,09;3856015325228;HRANA;
MAJONEZA DELIKATES 165 G TUBA ZVIJEZDA;022303;ZVIJEZDA MAJONEZA;0,165 KG;KOM;2,29;13,88;;;2,29;3858882210263;HRANA;
MAJONEZA THOMY 80 G VRECICA NESTLE;022307;NESTLE MAJONEZE;0,080 KG;KOM;1,15;14,38;;;1,15;7613287192561;HRANA;
MAJONEZA THOMY 165 G TUBA NESTLE;022311;NESTLE MAJONEZE;0,165 KG;KOM;;10,85;1,79;1,79;2,49;7613287084606;HRANA;
MAJO.THOMY KETCHUP 190 G TUBA NESTLE;022313;NESTLE MAJONEZE;0,190 KG;KOM;;9,42;1,79;2,49;2,49;7613287146694;HRANA;
MAJONEZA LIGHT 95 G VRECICA ZVIJEZDA;022315;ZVIJEZDA MAJONEZA;0,095 KG;KOM;1,09;11,47;;;1,09;3858882210324;HRANA;
TARTAR UMAK THOMY 180 G TUBA NESTLE;022353;NESTLE MAJONEZE;0,180 KG;KOM;;9,94;1,79;1,79;2,49;7613287084149;HRANA;
SIR RIBANAC 40 G PRESIDENT DUKAT;022368;DUKAT-SIRELA;0,040 KG;KOM;1,49;37,25;;;1,49;3850355007608;HRANA;
B AKTIV JOGURT 150 G;022369;DUKAT-B.AKTIV;0,150 KG;KOM;,69;4,60;;;,69;3850354019121;HRANA;
OBR.MLIJ.U PRAHU 1% 1 KG DUKAT;022372;DUKAT;1 KG;KOM;8,49;8,49;;;8,49;3850355001132;HRANA;
MAJONEZA LIGHT 620 G STAKLO ZVIJEZDA;022397;ZVIJEZDA MAJONEZA;0,620 KG;KOM;4,99;8,05;;;4,99;3856015321909;HRANA;
MAJONEZA DELIKATES 620 G STAKLO ZVIJEZDA;022399;ZVIJEZDA MAJONEZA;0,630 KG;KOM;4,99;7,92;;;4,99;3856015321879;HRANA;
SENF ESTRAGON 700 G PODRAVKA STAKLO;022401;PODRAVKA SENF;0,700 KG;KOM;3,99;5,70;;;3,99;3850104023415;HRANA;
SENF ESTRAGON 100 G PODRAVKA TUBA;022407;PODRAVKA SENF;0,100 KG;KOM;1,59;15,90;;;1,59;3850104023019;HRANA;
SENF ESTRAGON 140 G PODRAVKA STAKLO;022408;PODRAVKA SENF;0,140 KG;KOM;1,79;12,79;;;1,79;3850104023033;HRANA;
SENF BLAGI THOMY 700 G STAKLO;022416;NESLE THOMY KONZERVIRANO;0,700 KG;KOM;4,69;6,70;;;4,69;7610100999093;HRANA;
SENF CASA 265 G  JUTRO;022427;VM2 PREHRANA;0,265 KG;KOM;;7,21;1,91;2,39;2,39;4025891003257;HRANA;
SENF ESTRAGON 200 G MAUTNER TUBA;022431;MAUTNER;0,200 KG;KOM;1,79;8,95;;;1,79;9011900139616;HRANA;
SENF ESTRAGON 350 G PODRAVKA STAKLO;022442;PODRAVKA SENF;0,350 KG;KOM;2,49;7,11;;;2,49;3850104023484;HRANA;
SENF BLAGI THOMY 100 G TUBA;022448;NESLE THOMY KONZERVIRANO;0,100 KG;KOM;1,79;17,90;;;1,79;7613287084644;HRANA;
SENF BLAGI THOMY 200 G TUBA;022454;NESLE THOMY KONZERVIRANO;0,200 KG;KOM;2,29;11,45;;;2,29;7613287084163;HRANA;
SENF KRIGLA 250 G  JUTRO;022457;VM2 PREHRANA;0,265 KG;KOM;;8,00;2,12;2,65;2,65;4025891004254;HRANA;
SAMPINJONI I TARTUFI 80 G ZIGANTE STAKLO;022471;ZIGANTE KONZERVIRANO;0,080 KG;KOM;7,43;92,88;;;7,43;3859889179409;HRANA;
SAMPINJONI I TARTUFI 130 G  ZIGANTE STAKLO;022472;ZIGANTE KONZERVIRANO;0,130 KG;KOM;10,35;79,62;;;10,35;3859889179416;HRANA;
